date;rual_price;rual_volume;rual_price_change
13.04.2021;52,015;26,69M;3,54%
12.04.2021;50,235;22,34M;2,75%
09.04.2021;48,89;15,06M;-0,24%
08.04.2021;49,01;3,30M;0,50%
07.04.2021;48,765;6,67M;0,29%
06.04.2021;48,625;14,05M;-0,82%
05.04.2021;49,025;5,43M;-0,45%
02.04.2021;49,245;7,04M;0,85%
01.04.2021;48,83;11,44M;-1,24%
31.03.2021;49,445;18,60M;1,80%
30.03.2021;48,57;17,36M;0,50%
29.03.2021;48,33;38,75M;5,55%
26.03.2021;45,79;14,97M;4,26%
25.03.2021;43,92;20,10M;-2,86%
24.03.2021;45,215;30,60M;-1,66%
23.03.2021;45,98;24,79M;-1,76%
22.03.2021;46,805;15,83M;0,25%
19.03.2021;46,69;18,13M;3,13%
