"Date","Price","Open","High","Low","Vol.","Change %"
"05/22/2023","2,423.3","2,401.7","2,436.1","2,401.2","","0.90%"
"05/19/2023","2,401.7","2,417.9","2,442.4","2,392.6","","-0.67%"
"05/18/2023","2,417.9","2,421.8","2,421.8","2,372.1","","-0.16%"
"05/17/2023","2,421.8","2,378.6","2,431.0","2,378.6","","1.82%"
"05/16/2023","2,378.6","2,447.7","2,447.7","2,378.0","","-2.82%"
"05/15/2023","2,447.7","2,415.9","2,454.4","2,415.9","","1.32%"
"05/12/2023","2,415.9","2,425.4","2,441.6","2,403.8","","-0.39%"
"05/11/2023","2,425.4","2,494.0","2,494.0","2,419.5","","-2.75%"
"05/10/2023","2,494.0","2,504.4","2,536.9","2,456.9","","-0.42%"
"05/09/2023","2,504.4","2,497.5","2,530.1","2,473.6","","0.26%"
"05/08/2023","2,498.0","2,482.6","2,538.9","2,482.6","","0.62%"
"05/05/2023","2,482.6","2,418.7","2,495.2","2,418.7","","2.64%"
"05/04/2023","2,418.7","2,468.6","2,468.6","2,414.6","","-2.02%"
"05/03/2023","2,468.6","2,494.6","2,526.3","2,464.8","","-1.04%"
"05/02/2023","2,494.6","2,499.9","2,499.9","2,449.9","","-0.21%"
"05/01/2023","2,499.9","2,530.2","2,555.3","2,493.2","","-1.22%"
"04/28/2023","2,530.7","2,535.7","2,535.7","2,504.4","","-0.20%"
"04/27/2023","2,535.7","2,488.7","2,542.9","2,484.3","","1.89%"
"04/26/2023","2,488.7","2,517.1","2,534.0","2,479.6","","-1.13%"
"04/25/2023","2,517.1","2,595.7","2,595.7","2,507.9","","-3.03%"
"04/24/2023","2,595.7","2,571.6","2,599.9","2,563.3","","0.94%"
"04/21/2023","2,571.6","2,639.5","2,639.5","2,551.1","","-2.57%"
"04/20/2023","2,639.5","2,680.5","2,689.0","2,628.8","","-1.53%"
"04/19/2023","2,680.5","2,718.1","2,718.1","2,660.9","","-1.38%"
"04/18/2023","2,718.1","2,699.6","2,726.5","2,695.5","","0.69%"
"04/17/2023","2,699.6","2,684.8","2,705.6","2,677.7","","0.55%"
"04/14/2023","2,684.8","2,728.1","2,728.1","2,658.8","","-1.59%"
"04/13/2023","2,728.1","2,670.5","2,737.8","2,670.5","","2.15%"
"04/12/2023","2,670.5","2,691.9","2,715.4","2,661.3","","-0.79%"
"04/11/2023","2,691.9","2,652.4","2,715.1","2,652.4","","1.49%"
"04/10/2023","2,652.4","2,630.9","2,666.0","2,622.6","","0.82%"
"04/06/2023","2,630.9","2,639.8","2,639.8","2,591.8","","-0.34%"
"04/05/2023","2,639.8","2,670.9","2,670.9","2,614.2","","-1.17%"
"04/04/2023","2,670.9","2,740.0","2,740.0","2,634.3","","-2.52%"
"04/03/2023","2,740.0","2,723.0","2,747.0","2,691.6","","0.63%"
"03/31/2023","2,723.0","2,685.9","2,724.0","2,685.9","","1.38%"
"03/30/2023","2,685.9","2,659.2","2,701.1","2,659.2","","1.00%"
"03/29/2023","2,659.2","2,642.1","2,676.7","2,642.1","","0.65%"
"03/28/2023","2,642.1","2,611.7","2,654.9","2,611.7","","1.17%"
"03/27/2023","2,611.7","2,576.2","2,627.9","2,573.3","","1.38%"
"03/24/2023","2,576.2","2,551.6","2,586.1","2,499.4","","0.75%"
"03/23/2023","2,557.0","2,548.9","2,624.1","2,530.4","","0.32%"
"03/22/2023","2,548.9","2,605.5","2,632.1","2,547.2","","-2.17%"
"03/21/2023","2,605.5","2,565.0","2,623.3","2,565.0","","1.58%"
"03/20/2023","2,565.0","2,527.1","2,595.0","2,527.1","","1.50%"
"03/17/2023","2,527.1","2,549.0","2,552.6","2,495.4","","-0.86%"
"03/16/2023","2,549.0","2,519.8","2,555.6","2,469.8","","1.12%"
"03/15/2023","2,520.8","2,679.7","2,679.7","2,479.9","","-5.93%"
"03/14/2023","2,679.7","2,660.7","2,730.1","2,646.5","","0.71%"
"03/13/2023","2,660.7","2,680.8","2,716.0","2,616.8","","-0.75%"
"03/10/2023","2,680.8","2,774.9","2,780.5","2,657.1","","-3.39%"
"03/09/2023","2,774.9","2,850.3","2,872.8","2,768.4","","-2.64%"
"03/08/2023","2,850.3","2,843.0","2,875.0","2,822.7","","0.26%"
"03/07/2023","2,843.0","2,925.1","2,925.1","2,837.2","","-2.81%"
"03/06/2023","2,925.1","3,021.6","3,021.6","2,914.1","","-3.19%"
"03/03/2023","3,021.6","2,944.3","3,026.9","2,944.3","","2.63%"
"03/02/2023","2,944.3","2,931.5","2,951.2","2,870.1","","0.44%"
"03/01/2023","2,931.5","2,872.8","2,947.8","2,872.8","","2.04%"
"02/28/2023","2,872.8","2,819.3","2,896.1","2,811.5","","1.90%"
"02/27/2023","2,819.3","2,750.9","2,837.8","2,750.9","","2.48%"
"02/24/2023","2,750.9","2,776.9","2,776.9","2,703.1","","-0.94%"
"02/23/2023","2,776.9","2,804.5","2,821.6","2,733.7","","-0.98%"
"02/22/2023","2,804.5","2,799.5","2,825.8","2,784.6","","0.18%"
"02/21/2023","2,799.5","2,876.3","2,889.1","2,790.6","","-2.67%"
"02/17/2023","2,876.3","2,926.9","2,926.9","2,861.3","","-1.73%"
"02/16/2023","2,926.9","2,902.4","2,972.3","2,887.4","","0.82%"
"02/15/2023","2,903.0","2,903.8","2,903.8","2,832.7","","-0.03%"
"02/14/2023","2,903.8","2,836.5","2,913.4","2,802.0","","2.37%"
"02/13/2023","2,836.5","2,828.5","2,847.3","2,788.3","","0.28%"
"02/10/2023","2,828.5","2,827.0","2,829.9","2,786.7","","0.05%"
"02/09/2023","2,827.0","2,852.9","2,906.7","2,820.4","","-0.91%"
"02/08/2023","2,852.9","2,931.8","2,931.8","2,852.9","","-2.69%"
"02/07/2023","2,931.8","2,915.0","2,939.5","2,866.4","","0.57%"
"02/06/2023","2,915.0","2,965.7","2,966.0","2,894.4","","-1.71%"
"02/03/2023","2,965.7","2,997.3","3,030.1","2,958.0","","-1.05%"
"02/02/2023","2,997.3","2,980.8","3,001.3","2,940.4","","0.55%"
"02/01/2023","2,980.8","2,925.5","3,002.1","2,877.3","","1.89%"
"01/31/2023","2,925.5","2,892.4","2,929.5","2,872.7","","1.14%"
"01/30/2023","2,892.4","2,925.2","2,929.6","2,891.0","","-1.12%"
"01/27/2023","2,925.2","2,935.8","2,955.4","2,906.4","","-0.36%"
"01/26/2023","2,935.8","2,914.3","2,949.8","2,865.6","","0.74%"
"01/25/2023","2,914.3","2,877.5","2,924.6","2,831.1","","1.28%"
"01/24/2023","2,877.5","2,874.2","2,889.2","2,825.0","","0.11%"
"01/23/2023","2,874.2","2,864.6","2,878.7","2,847.7","","0.33%"
"01/20/2023","2,864.6","2,796.6","2,865.7","2,778.8","","2.43%"
"01/19/2023","2,796.6","2,801.3","2,815.3","2,764.3","","-0.17%"
"01/18/2023","2,801.3","2,851.6","2,924.5","2,800.9","","-1.76%"
"01/17/2023","2,851.6","2,878.5","2,890.1","2,837.7","","-0.93%"
"01/13/2023","2,878.5","2,840.7","2,887.2","2,812.6","","1.33%"
"01/12/2023","2,840.7","2,785.6","2,841.9","2,782.8","","1.98%"
"01/11/2023","2,785.6","2,769.7","2,788.6","2,757.5","","0.57%"
"01/10/2023","2,769.7","2,703.3","2,773.4","2,684.0","","2.46%"
