date;chalco_price;chalco_adj;chalco_volume
19.02.2020;2.250000;2.217711;16330064
20.02.2020;2.280000;2.237250;27315600
21.02.2020;2.310000;2.247020;21749603
24.02.2020;2.290000;2.149323;18086768
25.02.2020;2.150000;2.110245;17154459
26.02.2020;2.130000;2.080936;19984386
27.02.2020;2.150000;2.071166;16415330
28.02.2020;2.100000;2.022318;39506927
02.03.2020;2.080000;2.090705;11496000
03.03.2020;2.180000;2.032088;20124302
04.03.2020;2.110000;2.041857;10852443
05.03.2020;2.120000;2.071166;18625100
06.03.2020;2.100000;2.002779;15758000
09.03.2020;2.000000;1.895312;26148000
10.03.2020;1.920000;1.856234;33242453
11.03.2020;1.910000;1.836694;21431909
12.03.2020;1.850000;1.778077;18203107
13.03.2020;1.700000;1.738998;38820600
16.03.2020;1.770000;1.680380;18692656
17.03.2020;1.700000;1.680380;34592983
18.03.2020;1.730000;1.582684;26152039
19.03.2020;1.630000;1.494757;33334865
20.03.2020;1.580000;1.475217;42205918
23.03.2020;1.480000;1.406830;23890138
24.03.2020;1.450000;1.475217;26795055
25.03.2020;1.570000;1.563144;28408800
26.03.2020;1.570000;1.524066;32109800
27.03.2020;1.610000;1.524066;21488000
30.03.2020;1.530000;1.445908;48793219
31.03.2020;1.510000;1.504526;30466648
01.04.2020;1.510000;1.455678;24376709
02.04.2020;1.480000;1.484987;17614038
03.04.2020;1.510000;1.484987;9652000
06.04.2020;1.540000;1.494757;7830288
07.04.2020;1.580000;1.621762;27847700
08.04.2020;1.640000;1.651071;23737884
09.04.2020;1.730000;1.631532;19594000
14.04.2020;1.670000;1.670611;10442000
15.04.2020;1.720000;1.592453;18385305
16.04.2020;1.610000;1.524066;28092026
17.04.2020;1.580000;1.553375;32242247
20.04.2020;1.610000;1.533835;10360000
21.04.2020;1.570000;1.465448;31040258
22.04.2020;1.490000;1.455678;35167691
23.04.2020;1.500000;1.455678;24130679
24.04.2020;1.500000;1.484987;14726779
27.04.2020;1.550000;1.514296;6584020
