"Date","Price","Open","High","Low","Vol.","Change %"
"04/19/2023","11,506.25","11,506.25","11,506.25","11,506.25","","-1.08%"
"04/18/2023","11,631.31","11,631.31","11,631.31","11,631.31","","0.12%"
"04/17/2023","11,617.65","11,617.65","11,617.65","11,617.65","","0.90%"
"04/14/2023","11,514.17","11,514.17","11,514.17","11,514.17","","1.01%"
"04/13/2023","11,398.55","11,398.55","11,398.55","11,398.55","","-0.25%"
"04/12/2023","11,427.58","11,427.58","11,427.58","11,427.58","","-0.20%"
"04/11/2023","11,450.03","11,450.03","11,450.03","11,450.03","","-0.28%"
"04/10/2023","11,482.19","11,482.19","11,482.19","11,482.19","","-0.48%"
"04/07/2023","11,537.78","11,537.78","11,537.78","11,537.78","","0.56%"
"04/06/2023","11,473.44","11,473.44","11,473.44","11,473.44","","-0.04%"
"04/04/2023","11,478.13","11,478.13","11,478.13","11,478.13","","0.22%"
"04/03/2023","11,452.93","11,452.93","11,452.93","11,452.93","","0.46%"
"03/31/2023","11,401.02","11,401.02","11,401.02","11,401.02","","0.50%"
"03/30/2023","11,344.73","11,344.73","11,344.73","11,344.73","","1.09%"
"03/29/2023","11,222.45","11,222.45","11,222.45","11,222.45","","0.03%"
"03/28/2023","11,219.06","11,219.06","11,219.06","11,219.06","","-0.35%"
"03/27/2023","11,259.00","11,259.00","11,259.00","11,259.00","","-0.65%"
"03/24/2023","11,332.26","11,332.26","11,332.26","11,332.26","","-0.69%"
"03/23/2023","11,411.29","11,411.29","11,411.29","11,411.29","","1.77%"
"03/22/2023","11,212.29","11,212.29","11,212.29","11,212.29","","0.17%"
"03/21/2023","11,192.86","11,192.86","11,192.86","11,192.86","","1.28%"
"03/20/2023","11,051.32","11,051.32","11,051.32","11,051.32","","-0.68%"
"03/17/2023","11,127.42","11,127.42","11,127.42","11,127.42","","0.67%"
"03/16/2023","11,053.22","11,053.22","11,053.22","11,053.22","","-1.38%"
"03/15/2023","11,207.37","11,207.37","11,207.37","11,207.37","","-0.24%"
"03/14/2023","11,234.54","11,234.54","11,234.54","11,234.54","","-0.30%"
"03/13/2023","11,268.08","11,268.08","11,268.08","11,268.08","","1.98%"
"03/10/2023","11,049.04","11,049.04","11,049.04","11,049.04","","-1.23%"
"03/09/2023","11,186.19","11,186.19","11,186.19","11,186.19","","-0.44%"
"03/08/2023","11,235.85","11,235.85","11,235.85","11,235.85","","-0.71%"
"03/07/2023","11,316.25","11,316.25","11,316.25","11,316.25","","-1.74%"
"03/06/2023","11,516.79","11,516.79","11,516.79","11,516.79","","-0.58%"
"03/03/2023","11,584.35","11,584.35","11,584.35","11,584.35","","0.40%"
"03/02/2023","11,538.50","11,538.50","11,538.50","11,538.50","","-0.24%"
"03/01/2023","11,566.68","11,566.68","11,566.68","11,566.68","","1.51%"
"02/28/2023","11,394.61","11,394.61","11,394.61","11,394.61","","0.98%"
"02/27/2023","11,283.69","11,283.69","11,283.69","11,283.69","","-0.81%"
"02/24/2023","11,375.40","11,375.40","11,375.40","11,375.40","","-1.56%"
"02/23/2023","11,555.62","11,555.62","11,555.62","11,555.62","","0.05%"
"02/22/2023","11,549.64","11,549.64","11,549.64","11,549.64","","-1.10%"
"02/21/2023","11,678.46","11,678.46","11,678.46","11,678.46","","0.14%"
"02/20/2023","11,662.00","11,662.00","11,662.00","11,662.00","","2.47%"
"02/17/2023","11,380.79","11,380.79","11,380.79","11,380.79","","-1.52%"
"02/16/2023","11,556.47","11,556.47","11,556.47","11,556.47","","-1.07%"
"02/15/2023","11,681.95","11,681.95","11,681.95","11,681.95","","-0.96%"
"02/14/2023","11,794.89","11,794.89","11,794.89","11,794.89","","0.27%"
"02/13/2023","11,763.22","11,763.22","11,763.22","11,763.22","","0.50%"
"02/10/2023","11,704.21","11,704.21","11,704.21","11,704.21","","-0.75%"
"02/09/2023","11,792.12","11,792.12","11,792.12","11,792.12","","1.31%"
"02/08/2023","11,639.98","11,639.98","11,639.98","11,639.98","","-0.45%"
