date;hongqiao_price;hongqiao_adj;hongqiao_volume
12.11.2019;4.440000;3.010298;4153412
13.11.2019;4.260000;2.961519;4502000
14.11.2019;4.250000;2.926678;4457000
15.11.2019;4.200000;2.898805;2459500
18.11.2019;4.220000;2.954551;1662000
19.11.2019;4.250000;3.052107;6998296
20.11.2019;4.380000;3.024234;3808000
21.11.2019;4.310000;2.933646;6520250
22.11.2019;4.250000;2.898805;4996000
25.11.2019;4.200000;2.898805;7339990
26.11.2019;4.180000;2.926678;11739500
27.11.2019;4.240000;2.919710;6086500
28.11.2019;4.220000;2.940615;3233500
29.11.2019;4.190000;2.863964;5872000
02.12.2019;4.110000;2.843059;4345000
03.12.2019;4.100000;2.856995;3484280
04.12.2019;4.040000;2.808217;3845500
05.12.2019;4.060000;2.822154;3750500
06.12.2019;4.080000;2.912741;3304000
09.12.2019;4.240000;2.940615;3577000
10.12.2019;4.300000;2.989393;2951142
11.12.2019;4.260000;3.045139;3079500
12.12.2019;4.430000;3.059076;3951762
13.12.2019;4.440000;3.114821;5339000
16.12.2019;4.560000;3.100885;5976800
17.12.2019;4.460000;3.135727;2754687
18.12.2019;4.530000;3.135727;1911250
19.12.2019;4.520000;3.107853;1315466
20.12.2019;4.520000;3.114821;3503531
23.12.2019;4.470000;3.093917;2169415
24.12.2019;4.380000;3.059076;1188500
27.12.2019;4.480000;3.170568;5979795
30.12.2019;4.560000;3.233283;3279800
31.12.2019;4.690000;3.275092;2348000
02.01.2020;4.720000;3.365680;6980200
03.01.2020;4.860000;3.358712;2153384
06.01.2020;4.710000;3.212378;4736000
07.01.2020;4.670000;3.247219;1884500
08.01.2020;4.650000;3.205409;5057839
09.01.2020;4.620000;3.212378;1825700
10.01.2020;4.600000;3.275092;3659500
13.01.2020;4.650000;3.240251;2751488
14.01.2020;4.740000;3.275092;3365500
15.01.2020;4.650000;3.275092;1491760
16.01.2020;4.680000;3.282060;1492616
17.01.2020;4.780000;3.344775;2698162
20.01.2020;4.800000;3.330839;1609529
21.01.2020;4.790000;3.205409;3558500
22.01.2020;4.510000;3.149663;1059000
23.01.2020;4.460000;2.996361;1920683
24.01.2020;4.280000;2.996361;416120
29.01.2020;4.100000;2.850027;1909070
30.01.2020;4.180000;2.752471;1993000
31.01.2020;4.030000;2.675820;3179380
03.02.2020;3.840000;2.689756;9360720
